Change,Description,Date
List stack exports," Use the AWS CloudFormation console, API, or AWS CLI to see a list of all the exported output values for a region. For more information, see Exporting Stack Output Values.","November 03, 2016"
Continuous delivery with stacks," Use AWS CodePipeline to build continuous delivery workflows with AWS CloudFormation stacks. For more information, see Continuous Delivery with CodePipeline.","November 03, 2016"
Skip resources during rollback,"If you have a stack in the UPDATE_ROLLBACK_FAILED state, use the ResourcesToSkip parameter for the ContinueUpdateRollback action to skip resources that AWS CloudFormation can't rollback. For more information, see the Troubleshooting section in Update Rollback Failed.","November 03, 2016"
Change sets enhancement,You can create a new stack using a change set.,"November 03, 2016"
Updated resource,"AWS::ElastiCache::CacheClusterUpdate the CacheNodeType property without replacing the cluster. AWS::ElastiCache::ReplicationGroupYou can create a Redis (cluster mode enabled) replication group that can contain multiple node groups (shards), each with a primary cluster and read replicas. AWS::ElastiCache::SubnetGroup Use the CacheSubnetGroupName property to specify a name for an Amazon ElastiCache subnet group.","October 12, 2016"
New resources,AWS::ApiGateway::UsagePlan Use the AWS::ApiGateway::UsagePlan resource to specify a usage plan for deployed Amazon API Gateway APIs. AWS::CodeCommit::Repository Use the AWS::CodeCommit::Repository resource to create an CodeCommit repository that is hosted by Amazon Web Services.,"October 06, 2016"
Updated resources,"AWS::ApiGateway::Authorizer Use the ProviderARNs property to use Amazon Cognito user pools as Amazon API Gateway API authorizers. AWS::ApiGateway::DeploymentThe StageName property is no longer required. AWS::ElasticLoadBalancingV2::TargetGroupFor the GetAtt function, use the LoadBalancerArns attribute to retrieve the Amazon Resource Names (ARNs) of the load balancers that route traffic to the target group. AWS::RDS::DBInstance Use the Domain and DomainIAMRoleName properties to use Windows Authentication when users connect to the RDS DB instance. AWS::EC2::SecurityGroupEgress Use the DestinationPrefixListId property to specify the AWS service prefix of an Amazon VPC endpoint.","October 06, 2016"
Cross-stack reference enhancement, Use intrinsic functions to customize the Name value of an export or to refer to a value in the ImportValue function.,"October 06, 2016"
AWS CloudFormation service role," Use an AWS Identity and Access Management (IAM) service role for AWS CloudFormation stack operations. AWS CloudFormation uses the role's credentials to make calls to stack resources on your behalf. For more information, see AWS CloudFormation Service Role.","September 26, 2016"
New feature,"You can use the Export output field and the Fn::ImportValue intrinsic function to have one stack refer to resource outputs in another stack. For more information, see Outputs, Fn::ImportValue, and Walkthrough: Refer to Resource Outputs in Another AWS CloudFormation Stack.","September 19, 2016"
YAML support,"You can use the YAML format to author AWS CloudFormation templates. YAML also allows you to, for example, add comments to your templates or use the short form for intrinsic functions. For more information, see AWS CloudFormation Template Formats.","September 19, 2016"
New intrinsic function," Use the Fn::Sub function to substitute variables in an input string with values that you specify. For more information, see Fn::Sub.","September 19, 2016"
New resources,AWS::KMS::Alias Use the AWS::KMS::Alias resource to create an alias for an AWS Key Management Service customer master key.,"September 19, 2016"
Updated resources,"AWS::EC2::SpotFleetFor the LaunchSpecifications property, use the SpotPrice property to specify a bid price for a specific instance type. AWS::ECS::Cluster Use the ClusterName property to specify a name for an Amazon Elastic Container Service cluster. AWS::ECS::TaskDefinition Use the TaskRoleArn property to specify an AWS Identity and Access Management role that Amazon Elastic Container Service containers use to make AWS calls on your behalf.  Use the Family property to register a task definition to a specific family. AWS::Elasticsearch::Domain Use the ElasticsearchVersion property to specify which version of Elasticsearch to use.","September 19, 2016"
New resources," Use the following Elastic Load Balancing Application Load Balancer resources to distribute incoming application traffic to multiple targets, such as EC2 instances, in multiple Availability Zones: AWS::ElasticLoadBalancingV2::Listener  AWS::ElasticLoadBalancingV2::ListenerRule  AWS::ElasticLoadBalancingV2::LoadBalancer  AWS::ElasticLoadBalancingV2::TargetGroup","August 11, 2016"
Updated resource,"AWS::AutoScaling::AutoScalingGroup Use the TargetGroupARNs property to associate the Auto Scaling group with one or more Application Load Balancer target groups. AWS::ECS::ServiceFor the load LoadBalancers property, use the TargetGroupArn property to associate an Amazon Elastic Container Service service with an Application Load Balancer target group.","August 11, 2016"
New resources,AWS CloudFormation added the following resources: AWS::ApplicationAutoScaling::ScalableTarget and AWS::ApplicationAutoScaling::ScalingPolicy Use an Application Auto Scaling scaling policy to define when and how a target resource scales. AWS::CertificateManager::CertificateProvision an AWS Certificate Manager certificate that you can use with other AWS services to enable secure connections.,"August 09, 2016"
Updated resources,"AWS CloudFormation updated the following resources: AWS::CloudFront::DistributionFor the distribution configuration ViewerCertificate property, you can specify an AWS Certificate Manager certificate. For the distribution configuration Origin property, you can specify custom headers and the SSL protocols for custom origins. AWS::EFS::FileSystemYou can specify the performance mode for an Amazon Elastic File System file system.","August 09, 2016"
New resources,"AWS IoT Use AWS IoT to declare an AWS IoT policy, an X.509 certificate, an association between a policy and a principal (an X.509 certificate or other credential), an AWS IoT thing, an association between a principal and a thing, or an AWS IoT rule. AWS::IoT::Certificate  AWS::IoT::Policy  AWS::IoT::PolicyPrincipalAttachment  AWS::IoT::Thing  AWS::IoT::ThingPrincipalAttachment  AWS::IoT::TopicRule","July 20, 2016"
Updated resources,"AWS CloudFormation updated the following resources: AWS::IAM::Group, AWS::IAM::Role, AWS::IAM::User Use the name properties to specify a custom name for AWS Identity and Access Management (IAM) resources. AWS::ApiGateway::MethodFor the Integration property, you can use the PassthroughBehavior property to specify when Amazon API Gateway passes requests to the targeted back end. AWS::ApiGateway::Model and AWS::ApiGateway::RestApiYou can specify JSON objects for the Schema and Body properties.","July 20, 2016"
Auto Scaling group UpdatePolicy,"For the UpdatePolicy attribute, use the AutoScalingReplacingUpdate property to specify whether an Auto Scaling group and the instances it contains are replaced when you update the Auto Scaling group. During a replacement, AWS CloudFormation retains the old Auto Scaling group until it creates the new one successfully so that AWS CloudFormation can roll back to the old Auto Scaling group if the update fails. For more information, see UpdatePolicy Attribute.","June 9, 2016"
New resource,"AWS CloudFormation added the following resources: AWS::EC2::FlowLogCreates an Amazon Elastic Compute Cloud flow log that captures IP traffic for a specified network interface, subnet, or VPC. AWS::KinesisFirehose::DeliveryStreamCreates a delivery stream that delivers real-time streaming data to a destination, such as Amazon Simple Storage Service, Amazon Redshift, or Amazon Elasticsearch Service.","June 9, 2016"
Updated resources,"AWS CloudFormation updated the following resources: AWS::Kinesis::Stream Use the Name property to specify a name for an Amazon Kinesis stream. AWS::Lambda::FunctionFor the Code property, you can use the ZipFile property and cfn response module for nodejs4.3 runtime environments. AWS::SNS::TopicAWS CloudFormation enabled updates for the Amazon Simple Notification Service topic resource.","June 9, 2016"
New resource, Use the AWS::EC2::Host resource to allocate a fully dedicated physical server for launching EC2 instances.,"April 25, 2016"
Updated resources,AWS::EC2::Instance Use the Affinity and HostId properties to launch instances onto an Amazon Elastic Compute Cloud dedicated host. AWS::ECS::Service Use the DeploymentConfiguration property to configure how many tasks can run during a deployment. AWS::ECS::TaskDefinitionAWS CloudFormation added support for additional Amazon Elastic Container Service container definition properties. AWS::GameLift::Fleet Use the MaxSize and MinSize properties to specify the maximum and minimum number of EC2 instances allowed in your Amazon GameLift fleet. AWS::Lambda::Function Use the FunctionName property to specify a name for your AWS Lambda function. You can also use Python 2.7 to specify an inline function.,"April 25, 2016"
New resources,"Amazon API Gateway Use the Amazon API Gateway resources to publish, maintain, and monitor APIs at any scale. You can create APIs that clients can call to access your back-end services, such as applications running EC2 instances or code running on AWS Lambda. AWS::ApiGateway::Account  AWS::ApiGateway::ApiKey  AWS::ApiGateway::Authorizer  AWS::ApiGateway::BasePathMapping  AWS::ApiGateway::ClientCertificate  AWS::ApiGateway::Deployment  AWS::ApiGateway::Method  AWS::ApiGateway::Model  AWS::ApiGateway::Resource  AWS::ApiGateway::RestApi  AWS::ApiGateway::Stage   AWS::Events::RuleCreate an Amazon CloudWatch Events rule that monitors changes to AWS resources in your account (events). If an incoming event matches the conditions that you described in the rule, Amazon CloudWatch Events sends messages to and activates your specified targets, such as AWS Lambda functions or Amazon Simple Notification Service topics. AWS::WAF::SizeConstraintSet and AWS::WAF::XssMatchSet Use the two AWS WAF rules to check the size of a web request or to prevent cross-site scripting attacks.","April 18, 2016"
New resources, Use the AWS::Lambda::Alias resource to create aliases for your AWS Lambda functions and the AWS::Lambda::Version resource to create versions of your functions.,"March 31, 2016"
Updated resources,"AWS CloudFormation updated the following resources: AWS::EMR::Cluster and AWS::EMR::InstanceGroupConfig Use the EbsConfiguration property to configure Amazon Elastic Block Store storage volumes for your Amazon EMR clusters or instance groups. AWS::Lambda::Function Use the VpcConfig property to enable AWS Lambda functions to access resources in a VPC. AWS::S3::BucketFor the Amazon Simple Storage Service life cycle rules, you can specify multiple transition rules that specify when objects transition to a specified storage class.","March 31, 2016"
Change sets,"Before updating stacks, use change sets to see how your changes might affect your running resources. For more information, see Updating Stacks Using Change Sets.","March 29, 2016"
New resources," Use the AWS::GameLift::Alias, AWS::GameLift::Build, and AWS::GameLift::Fleet resources to deploy multiplayer game servers in AWS.","March 15, 2016"
New resources,"AWS CloudFormation added the following resources: AWS::ECR::RepositoryCreate Amazon Elastic Container Registry repositories where users can push and pull Docker images. AWS::EC2::NatGateway Use the network address translator (NAT) gateway to enable EC2 instances in a private subnet to connect to the Internet. AWS::Elasticsearch::DomainCreate Amazon Elasticsearch Service (Amazon ES) domains that contain the Amazon ES engine instances, which process Amazon ES requests. AWS::EMR::Cluster, AWS::EMR::InstanceGroupConfig, AWS::EMR::Step Use the Amazon EMR resources to help you analyze and process vast amounts of data. You can create clusters and then run jobs on them.","February 26, 2016"
Updated resources,"AWS CloudFormation updated the following resources: AWS::CloudTrail::Trail Use the IsMultiRegionTrail property to specify whether to create an AWS CloudTrail trail in the region in which you create a stack or in all regions. AWS::Config::ConfigurationRecorderFor the recording group, use the IncludeGlobalResourceTypes property to record all global resource types. AWS::RDS::DBCluster Use the KmsKeyId and StorageEncrypted properties to encrypt database instances in the cluster.","February 26, 2016"
Retain resources,"For stacks in the DELETE_FAILED state, use the RetainResources parameter to retain resources that AWS CloudFormation can't delete. For more information, see Delete Stack Fails.","February 26, 2016"
Update stack tags,"You can add, modify, or remove stack tags when you update a stack. For more information, see AWS CloudFormation Stacks Updates.","February 26, 2016"
Continue rolling back failed update rollbacks,"For a stack in the UPDATE_ROLLBACK_FAILED state, you can continue rolling back the update to get your stack in a working state. That way, you can return the stack to its original settings and try to update it again. For more information, see Continue Rolling Back an Update.","January 25, 2016"
New sample templates available for the Asia Pacific (Seoul) region.,"The following collection of AWS CloudFormation sample templates are for the ap-northeast-2 region: Sample Solutions  Application Frameworks  Services   For more information, see Sample Templates.","January 7, 2016"
New resources,"AWS CloudFormation added the following resources: AWS::DirectoryService::MicrosoftAD Use the Microsoft Active Directory resource to create a Microsoft Active Directory directory in AWS. AWS::Logs::Destination and AWS::Logs::LogStream Use the Amazon CloudWatch Logs resources to create a destination for real-time processing of log data or to create log streams, respectively. AWS::WAF::ByteMatchSet, AWS::WAF::IPSet, AWS::WAF::Rule, AWS::WAF::SqlInjectionMatchSet, and AWS::WAF::WebACL Use the AWS WAF resources to control and monitor web requests to your content.","December 28, 2015"
Resource updates,"AWS CloudFormation updated the following resources: AWS::CloudFront::DistributionFor the distribution configuration, use the WebACLId property to associate an AWS WAF web access control list (ACL) with an Amazon CloudFront distribution. For the cache behavior and default cache behavior, you can specify a default and maximum Time to Live (TTL) value. AWS::DynamoDB::TableYou can create, update, or delete a global secondary index without replacing your Amazon DynamoDB table. AWS::S3::Bucket Use the ReplicationConfiguration property to specify which objects to replicate and where they are stored.  Use the properties in the NotificationConfiguration property to specify filters so that Amazon Simple Storage Service sends notifications for objects that you specify.","December 28, 2015"
Parameter grouping and sorting, Use the AWS::CloudFormation::Interface metadata key to group and sort parameters in the AWS CloudFormation console when users create or update a stack with your template.,"December 3, 2015"
Update policy attribute,"For an Auto Scaling update policy attribute, use the MinSuccessfulInstancesPercent property to specify the percentage of instances that must signal success for a successful update.","December 3, 2015"
New resources,"AWS CloudFormation added the following resources: AWS::CodePipeline::Pipeline and AWS::CodePipeline::CustomActionType Use the CodePipeline resources to create a pipeline that describes how software changes go through a release process. AWS::Config::ConfigurationRecorder, AWS::Config::DeliveryChannel, and AWS::Config::ConfigRule Use the AWS Config resources to monitor configuration changes to specific AWS resources. AWS::KMS::Key Use the AWS Key Management Service (AWS KMS) resource to create customer master keys in AWS KMS that users can use to encrypt small amounts of data. AWS::SSM::Document Use the Amazon EC2 Systems Manager to create a document that specifies on-instance configurations.","December 3, 2015"
Resources update,"AWS CloudFormation updated the following resources: AWS::AutoScaling::LaunchConfigurationSpecify whether EBS volumes are encrypted. AWS::AutoScaling::ScalingPolicyYou can use two different policy types (simple and step scaling) to specify how an Auto Scaling group scales when an Amazon CloudWatch (CloudWatch) alarm is breached. AWS::CloudTrail::Trail Use the CloudWatch properties to send logs to a CloudWatch log group. You can add tags to a trail and specify an AWS KMS key that you want to use to encrypt logs. AWS::CodeDeploy::Application, AWS::CodeDeploy::DeploymentConfig, and AWS::CodeDeploy::DeploymentGroup Use the ApplicationName, DeploymentConfigName, and DeploymentGroupName properties to specify custom names for CodeDeploy resources. AWS::DynamoDB::Table Use the StreamSpecification property to specify settings for capturing changes to items stored in an Amazon DynamoDB (DynamoDB) table. AWS::EC2::Instance Use the SsmAssociations property to associate an Amazon EC2 Systems Manager document with an instance. AWS::EC2::SpotFleet Use the AllocationStrategy property to specify how to allocate target capacity across Spot pools.  Use the ExcessCapacityTerminationPolicy property to specify how instances are terminated if the target capacity is below the size of the Spot fleet. AWS::Redshift::Cluster Use the KmsKeyId property to specify an AWS KMS key to encrypt data in an Amazon Redshift cluster. AWS::WorkSpaces::Workspace Use the encryption properties to encrypt data stored on volumes.","December 3, 2015"
Resource update,"For the AWS::EC2::Volume resource, use the AutoEnableIO property to automatically resume I/O operations if a volume's data becomes inconsistent.","November 4, 2015"
New resources,"AWS CloudFormation added the following resources: AWS::CodeDeploy::Application, AWS::CodeDeploy::DeploymentGroup, and AWS::CodeDeploy::DeploymentConfig Use the CodeDeploy resources to create and apply deployments to EC2 or on-premises instances. AWS::DirectoryService::SimpleAD Use the Simple Active Directory resource to create an AWS Directory Service Simple AD, which is a Microsoft Active Directory-compatible directory. AWS::EC2::PlacementGroup Use a placement group to create a cluster of instances in a low-latency network. AWS::EC2::SpotFleet Use a Spot fleet to launch a collection of Spot instances that run interruptible tasks. AWS::Lambda::EventSourceMapping Use the event source mapping resource to specify a stream as an event source for an AWS Lambda (Lambda) function. AWS::Lambda::Permission Use a Lambda permission to add a statement to a Lambda function's policy. AWS::Logs::SubscriptionFilter Use the subscription filter to define which log events are delivered to your Kinesis stream. AWS::RDS::DBCluster and AWS::RDS::DBClusterParameterGroup Use the cluster and cluster parameter group resources to create an Amazon Aurora DB cluster. AWS::WorkSpaces::Workspace Use Amazon WorkSpaces to create cloud-based desktop experiences.","October 1, 2015"
Resource updates,"AWS CloudFormation updated the following resources: AWS::ElastiCache::ReplicationGroup Use the Fn::GetAtt intrinsic function to get a list of read-only replica addresses and ports. AWS::OpsWorks::Stack Use the AgentVersion property to specify a particular AWS OpsWorks agent. AWS::OpsWorks::App Use the Environment property to specify environment variables for an AWS OpsWorks app. AWS::S3::BucketFor the NotificationConfiguration property, you can configure notification settings for Lambda functions and Amazon Simple Queue Service (Amazon SQS) queues.","October 1, 2015"
IAM condition keys,"For AWS Identity and Access Management (IAM) policies, use AWS CloudFormation-specific condition keys to specify when an IAM policy takes effect. For more information, see Controlling Access with AWS Identity and Access Management.","October 1, 2015"
AWS CloudFormation Designer, Use AWS CloudFormation Designer to create and modify templates using a drag-and-drop interface.,"October 1, 2015"
New resource, Use the AWS::EC2::VPCEndpoint resource to establish a private connection between your VPC and another AWS service.,"August 24, 2015"
Resource updates,"AWS CloudFormation updated the following resources: AWS::ElasticBeanstalk::Environment Use the Tags property to specify tags (key-value pairs) for an AWS Elastic Beanstalk (Elastic Beanstalk) environment. AWS::Lambda::FunctionFor the Code property, use the ZipFile property to write the source code of your Lambda function directly in a template. Currently, you can use the ZipFile property only for nodejs runtime environments. You can still point to a file in an S3 bucket for all runtime environments, such as java8 and nodejs. AWS::OpsWorks::Instance Use the EbsOptimized property to indicate whether an instance is optimized for Amazon Elastic Block Store (Amazon EBS) I/O. AWS::RDS::DBInstanceFor the SourceDBInstanceIdentifier property, you can specify a database instance in another region to create a cross-region read replica.","August 24, 2015"
Amazon S3 template URL,"For versioning-enabled buckets, you can specify a version ID in an Amazon S3 template URL when you create or update a stack, such as https://s3.amazonaws.com/templates/myTemplate.template?versionId=123ab1cdeKdOW5IH4GAcYbEngcpTJTDW.","August 24, 2015"
New resource, Use the AWS::EFS::FileSystem resource to create an Amazon Elastic File System (Amazon EFS) file system and the AWS::EFS::MountTarget resource to create a mount point for a file system.,"August 3, 2015"
Permission requirement change,"When you create or update an AWS::RDS::DBInstance resource, you must now also have permission to call the ec2:DescribeAccountAttributes action.","June 11, 2015"
New resources,"AWS CloudFormation added the following resources: AWS::DataPipeline::Pipeline Use data pipelines to automate the movement and transformation of data. Amazon Elastic Container Service resources Use the AWS::ECS::Service, AWS::ECS::Cluster, and AWS::ECS::TaskDefinition resources to create Docker containers on a cluster of EC2 instances. AWS::ElastiCache::ReplicationGroup Use replication groups to create a collection of nodes with one primary read-write cluster and a maximum of five secondary read-only clusters. AWS::IAM::ManagedPolicy Use managed policies to create policies in your AWS account that you can use to apply permissions to IAM users, groups, and roles. AWS::Lambda::Function Use Lambda functions to run code in response to events. AWS::RDS::OptionGroup Use option groups to help you create and manage Amazon Relational Database Service (Amazon RDS) databases.","June 11, 2015"
Resource updates,"AWS CloudFormation updated the following resources: AWS::EC2::Subnet Use the MapPublicIpOnLaunch property to automatically assign public IP addresses to instances in a subnet. AWS::ElastiCache::CacheCluster Use the SnapshotName property to restore snapshot data into a new Redis cache cluster. AWS::IAM::UserFor the LoginProfile property, use the PasswordResetRequired property so that users are required to set a new password when they log in to the AWS Management Console. AWS::OpsWorks::Layer Use the LifecycleEventConfiguration property to configure lifecycle events for an AWS OpsWorks layer. AWS::S3::BucketFor the LifecycleConfiguration property, use the NoncurrentVersionExpirationInDays and NoncurrentVersionTransition properties to specify lifecycle rules for non-current object versions.","June 11, 2015"
New parameter types,"Whenever you use the AWS CloudFormation console to create or update a stack, you can search for AWS-specific parameter type values by ID, name, or Name tag value. AWS CloudFormation also added support for the following AWS-specific parameter types. For more information, see Parameters. AWS::EC2::AvailabilityZone::Name  List<AWS::EC2::AvailabilityZone::Name>  AWS::EC2::Instance::Id  List<AWS::EC2::Instance::Id>  AWS::EC2::Image::Id  List<AWS::EC2::Image::Id>  AWS::EC2::SecurityGroup::GroupName  List<AWS::EC2::SecurityGroup::GroupName>  AWS::EC2::Volume::Id  List<AWS::EC2::Volume::Id>  AWS::Route53::HostedZone::Id  List<AWS::Route53::HostedZone::Id>","May 19, 2015"
New resources,AWS CloudFormation added the following resources: AWS::AutoScaling::LifecycleHook Use Auto Scaling lifecycle hooks to control the state of an instance after it is launched or terminated. AWS::RDS::EventSubscription Use event subscriptions to get notifications about Amazon RDS events.,"April 16, 2015"
Resource updates,"AWS CloudFormation updated the following resources: AWS::AutoScaling::AutoScalingGroup Use the NotificationConfigurations property to specify multiple notifications. AWS::AutoScaling::LaunchConfiguration Use the PlacementTenancy property to specify the tenancy of instances.  Use the ClassicLinkVPCId and ClassicLinkVPCSecurityGroups properties to link EC2-Classic instances to a ClassicLink-enabled VPC. AWS::AutoScaling::ScalingPolicy Use the MinAdjustmentStep property to specify the minimum number of instances that are added or removed during a scaling event. AWS::CloudFront::DistributionFor viewer certificates, use the MinimumProtocolVersion property to specify a minimum protocol version. For cache behaviors, use the CachedMethods property to specify which methods Amazon CloudFront (CloudFront) caches responses for. For origins, use the OriginPath to specify a path that CloudFront uses to request content. AWS::ElastiCache::CacheClusterFor Memcached cache clusters, use the AZMode and PreferredAvailabilityZones properties to specify nodes in multiple Availability Zones (AZs). AWS::EC2::Volume Use the KmsKeyId property to specify a master key for encrypted volumes. AWS::OpsWorks::Instance Use the TimeBasedAutoScaling property to automatically scale instances based on a schedule that you specify. AWS::OpsWorks::Layer Use the LoadBasedAutoScaling property to specify load-based scaling policies. For volume configurations, use the VolumeType and Iops properties to specify a volume type and the number of I/O operations per second, respectively. AWS::RDS::DBInstance Use the CharacterSetName property to specify a character set for supported database engines.  Use the StorageEncrypted property to indicate whether database instances will be encrypted and the KmsKeyId to specify a master key for encrypted database instances. AWS::Route53::HealthCheck Use the HealthCheckTags property to associate tags with health checks. AWS::Route53::HostedZone Use the VPCs property to create private hosted zones.  Use the HostedZoneTags property to associate tags with hosted zones.","April 16, 2015"
New template section,"Add the Metadata section to your templates to include arbitrary JSON objects that describe your templates, such as the design or implementation details.","April 16, 2015"
Resource update,"For the AWS::CloudFormation::CustomResource resource, you can specify Lambda function Amazon Resource Names (ARNs) in the ServiceToken property.","April 8, 2015"
Amazon RDS update,"AWS CloudFormation added two new properties for RDS DB instances. You can associate an option group with a DB instance and specify the DB instance storage type. For more information, see AWS::RDS::DBInstance.","December 24, 2014"
Elastic Load Balancing update,"You can use the ConnectionSettings property to specify how long connections can remain idle. For more information, see AWS::ElasticLoadBalancing::LoadBalancer.","December 24, 2014"
Route 53 update,"You can now provision and manage Route 53 hosted zones , health checks, failover record sets , and geolocation record sets .","November 6, 2014"
Auto Scaling rolling update enhancement,"During an update, you can use the WaitOnResourceSignals flag to instruct AWS CloudFormation to wait for instances to signal success. That way, AWS CloudFormation won't update the next batch of instances until the current batch is ready. For more information, see UpdatePolicy Attribute.","November 6, 2014"
New VPC Fn:GetAtt attributes,"Given a VPC ID, you can retrieve the default security group and network ACL for that VPC. For more information, see Fn::GetAtt.","November 6, 2014"
New AWS-specific parameter types,"You can specify AWS-specific parameter types in your AWS CloudFormation templates.  In the AWS CloudFormation console, these parameter types provide a drop-down list of valid values. With the API or CLI, AWS CloudFormation can quickly validate values for these parameter types before creating or updating a stack. For more information, see Parameters.","November 6, 2014"
CreationPolicy attribute,"With the CreationPolicy attribute, you can instruct AWS CloudFormation to wait until applications are ready on EC2 instances before proceeding with stack creation. You can use a creation policy instead of a wait condition and wait condition handle. For more information, see CreationPolicy Attribute.","November 6, 2014"
Amazon CloudFront forwarded values,"For cache behaviors, you can forward headers to the origin. See ForwardedValues.","September 29, 2014"
AWS OpsWorks update,"For Chef 11.10, you can use the ChefConfiguration property to enable Berkshelf. You can also use the AWS OpsWorks built-in security groups with your AWS OpsWorks stacks. For more information, see AWS::OpsWorks::Stack.","September 29, 2014"
Elastic Load Balancing tagging support,AWS CloudFormation tags Elastic Load Balancing load balancers with stack-level tags. You can also add your own tags to a load balancer. See AWS::ElasticLoadBalancing::LoadBalancer.,"September 29, 2014"
Amazon Simple Notification Service topic policy update,"You can now update Amazon SNS topic policies. For more information, see AWS::SNS::TopicPolicy.","September 29, 2014"
RDS DB instance update,You can specify whether a DB instance is Internet-facing by using the PubliclyAccessible property in the AWS::RDS::DBInstance resource.,"September 5, 2014"
UpdatePolicy attribute update,"You can specify an update policy for an Auto Scaling group that has an associated scheduled action. For more information, see UpdatePolicy Attribute.","September 05, 2014"
Amazon CloudWatch support,"You can use AWS CloudFormation to provision and manage Amazon CloudWatch Logs (CloudWatch Logs) log groups and metric filters. For more information, see AWS::Logs::LogGroup or AWS::Logs::MetricFilter.","July 10, 2014"
Amazon CloudFront distribution configuration update,"You can specify additional CloudFront distribution configuration properties: Custom error responses define custom error messages for 4xx and 5xx HTTP status codes.  Price class defines the maximum price that you want to pay for the CloudFront service.  Restrictions define who can view your content.  Viewer certificate specifies the certificate to use when viewers use HTTPS.  For cache behaviors, you can specify allowed HTTP methods and indicate whether to forward cookies.   For more information, see AWS::CloudFront::Distribution.","June 17, 2014"
EC2 instance update,"You can specify whether an instance stops or terminates when you invoke the instance's operating system shutdown command. For more information, see AWS::EC2::Instance.","June 17, 2014"
EBS volume update,"You can use encrypted EBS volumes with supported instance types. For more information, see AWS::EC2::Volume.","June 17, 2014"
New Amazon VPC peering connection,"You can use AWS CloudFormation to create an Amazon Virtual Private Cloud (Amazon VPC) peering connection, which establishes a network connection between two VPCs. For more information, see AWS::EC2::VPCPeeringConnection.","June 17, 2014"
Amazon EC2 Auto Scaling group update,"You can specify an existing cluster placement group in which to launch instances for an Amazon EC2 Auto Scaling group. For more information, see AWS::AutoScaling::AutoScalingGroup.","June 17, 2014"
AWS CloudTrail support,"AWS CloudFormation supports AWS CloudTrail, which can capture API calls made from your AWS account and publish the logs at a location you designate. For more information, see AWS::CloudTrail::Trail.","June 17, 2014"
Update stack enhancements,"AWS CloudFormation supports additional features for updating stacks: You can update AWS CloudFormation stack parameters without resubmitting the stack's template.  You can add or remove Amazon SNS notification topics for an AWS CloudFormation stack.   For more information, see AWS CloudFormation Stacks Updates.","May 12, 2014"
Amazon Kinesis support,"You can use AWS CloudFormation to create Amazon Kinesis streams that capture and transport data records from data sources. For more information, see AWS::Kinesis::Stream.","May 6, 2014"
New S3 bucket properties,"AWS CloudFormation supports additional S3 bucket properties: Cross-origin resource sharing (CORS) defines cross-origin resource sharing of objects in a bucket.  Lifecycle defines how Amazon S3 manages objects during their lifetime.  Access logging policy captures information about requests made to your bucket.  Notifications define which events to report and which Amazon SNS topic to send messages to.  Versioning enables multiple variants of all objects in a bucket.  Redirect and routing rules govern redirect behavior for requests made to a bucket's website endpoint.   For more information, see AWS::S3::Bucket.","May 5, 2014"
Amazon EC2 Auto Scaling support,"AWS CloudFormation supports metrics collection for an Auto Scaling group. For more information, see AWS::AutoScaling::AutoScalingGroup.","May 5, 2014"
Fn::If update,"You can use the Fn::If intrinsic function in the output section of a template. For more information, see Condition Functions.","May 5, 2014"
API logging with AWS CloudTrail,"You can use AWS CloudTrail (CloudTrail) to log AWS CloudFormation requests. With CloudTrail you can get a history of AWS CloudFormation API calls for your account. For more information, see Logging AWS CloudFormation API Calls with AWS CloudTrail.","April 2, 2014"
Elastic Load Balancing update,"You can specify an access logging policy to capture information about requests made to your load balancer. You can also specify a connection draining policy that describes how to handle in-flight requests when instances are deregistered or become unhealthy. For more information, see AWS::ElasticLoadBalancing::LoadBalancer.","March 20, 2014"
AWS OpsWorks support,"You can use AWS CloudFormation to provision and manage AWS OpsWorks stacks. For more information, see AWS::OpsWorks::Stack or AWS OpsWorks Template Snippets.","March 3, 2014"
Amazon S3 template size limit increase,"You can specify template sizes up to 460,800 bytes in Amazon S3.","February 18, 2014"
Amazon Redshift support,"You can use AWS CloudFormation to provision and manage Amazon Redshift clusters. For more information, see Amazon Redshift Template Snippets or AWS::Redshift::Cluster.","February 10, 2014"
S3 buckets and bucket policies update,"You can update some properties of the S3 bucket and bucket policy resources. For more information, see AWS::S3::Bucket or AWS::S3::BucketPolicy.","February 10, 2014"
Elastic Beanstalk environments and application versions update,"You can update Elastic Beanstalk environment configurations and application versions. For more information, see AWS::ElasticBeanstalk::Environment, AWS::ElasticBeanstalk::ConfigurationTemplate, or AWS::ElasticBeanstalk::ApplicationVersion.","February 10, 2014"
Amazon SQS update,"You can specify a dead letter queue for an Amazon SQS queue. For more information, see AWS::SQS::Queue.","January 29, 2014"
Auto Scaling scheduled actions,"You can scale the number of EC2 instances in an Auto Scaling group based on a schedule. By using a schedule, you can scale applications in response to predictable load changes. For more information, see AWS::AutoScaling::ScheduledAction.","January 27, 2014"
DynamoDB secondary indexes,"You can create local and global secondary indexes for DynamoDB databases. By using secondary indexes, you can efficiently access data with attributes other than the primary key. For more information, see AWS::DynamoDB::Table.","January 27, 2014"
Auto Scaling update,"You can specify an instance ID for an Auto Scaling group or launch configuration. You can also specify additional Auto Scaling block device properties. For more information, see AWS::AutoScaling::AutoScalingGroup or AWS::AutoScaling::LaunchConfiguration.","January 2, 2014"
Amazon SQS update,"You can update SQS queues and specify additional properties. For more information, see AWS::SQS::Queue.","January 2, 2014"
